7957.06,3,W,I
8021.33,3,TM,I
8047.73,3,MG,I
8165.72,3,W,I
8167.5,3,GA,I
8259.512,3,TH,I
8292.529,3,TH,I
8382.94,3,W,I
8390.22,3,K,I
8455.24,3,CR,I
8614.5,3,W,I
8621.325,3,TH,I
8638.363,3,TH,I
8761.54,3,BI,I
8767.05,3,K,I
8804.59,3,TH,I
8819.15,3,CO,I
8987.408,3,TH,I
2209.67,4,SN,II
2210.53,4,K,II
2384.54,4,SN,II
2418.69,4,GA,I
2555.28,4,GA,II
2603.85,4,MG,I
2634.256,4,PB,II
2649.06,4,MG,I
2743.55,4,K,II
2829.08,4,HE,I
2906.36,4,MG,I
2986.876,4,PB,II
3101.79,4,K,I
3155.33,4,LI,II
3196.36,4,LI,II
3220.6,4,K,II
3374.94,4,GA,II
3469.81,4,XE,I
3472.36,4,XE,I
3626.42,4,K,II
3648.98,4,K,I
3734.85,4,GA,II
3841.44,4,SN,II
3878.62,4,K,II
3903.86,4,MG,I
4040.02,4,CO,II
4113.35,4,PB,II
4165.1,4,MG,I
4251.11,4,GA,II
4255.64,4,GA,II
4273.64,4,NA,I
4341.49,4,NA,I
4436.6,4,MG,II
4497.44,4,CO,II
4713.38,4,HE,I
4740.91,4,K,I
4881.32,4,LI,II
4881.39,4,LI,II
5005.159,4,NE,I
5390.568,4,RB,I
5649.7,4,NI,I
5772.1,4,ZN,I
5772.32,4,K,II
5775.5,4,ZN,I
5785.56,4,MG,I
6560.45,4,RU,I
6593.74,4,RU,I
6615.43,4,OS,I
6699.25,4,PR,I
6833.42,4,PD,I
6853.74,4,W,I
6862.873,4,TH,I
6876.01,4,W,I
6894.9,4,MG,I
6900.13,4,IN,I
6901.58,4,OS,I
6991.12,4,BI,I
6994.06,4,W,I
7111.18,4,W,I
7141.72,4,RU,I
7183.71,4,IR,I
7184.1,4,OS,I
7226.06,4,W,I
7257.72,4,TM,I
7346.25,4,EU,I
7356.65,4,EU,I
7385.24,4,NI,I
7387.36,4,EU,I
7451.39,4,W,I
7580.76,4,MG,II
7598.204,4,TH,I
7648.16,4,HO,I
7658.324,4,TH,I
7660.32,4,TM,I
7665.64,4,ER,I
7701.01,4,W,I
7701.46,4,OS,I
7710.269,4,TH,I
7728.951,4,TH,I
7732.96,4,PB,II
7743.9,4,ND,II
7748.92,4,ND,II
7762.16,4,ER,I
7771.948,4,TH,I
7778.27,4,TM,I
7790.98,4,MG,II
7797.89,4,RU,I
7801.6,4,GA,I
7806.82,4,RU,I
7809.78,4,NA,I
7810.625,4,TH,I
7829.22,4,TM,I
7829.81,4,RU,I
7863.47,4,W,I
7864.023,4,TH,I
7880.4,4,W,I
7896.5,4,ND,II
7925.54,4,RB,I
7937.732,4,TH,I
7956.83,4,K,I
8020.07,4,ND,
8185.58,4,ND,II
8248.76,4,ND,II
8254.07,4,BE,I
8262.8,4,ND,II
8272.79,4,ND,II
8302.74,4,ND,II
8322.05,4,W,I
8332.01,4,ND,II
8348.81,4,W,I
8358.726,4,TH,I
8375.16,4,ND,II
8375.33,4,ND,II
8394.71,4,ND,II
8402.6,4,W,I
8435.77,4,RU,I
8475.14,4,W,I
8530.53,4,ND,II
8575.35,4,CO,I
8668.116,4,TH,I
8763.96,4,K,I
8792.058,4,TH,I
8850.4,4,TL,I
8875.233,4,TH,I
8925.44,4,K,I
2022.02,5,PB,I
2050.88,5,PB,I
2200.73,5,CA,I
2230.7,5,IN,I
2247.55,5,HG,I
2265.04,5,K,II
2278.2,5,IN,I
2324.41,5,IN,I
2336.91,5,LI,II
2340.57,5,HG,I
2346.56,5,IN,I
2358.7,5,IN,I
2420.456,5,AR,II
2438.88,5,GA,II
2441.06,5,HG,I
2513.55,5,GA,II
2522.61,5,SN,II
2532.894,5,TH,I
2576.1,5,TE,II
2578.91,5,HG,I
2606.62,5,MG,I
2607.47,5,GA,I
2617.99,5,BE,II
2621.92,5,TE,II
2639.78,5,HG,I
2674.91,5,HG,I
2695.18,5,MG,I
2697.46,5,BE,II
2728.29,5,LI,II
2741.2,5,LI,I
2765.22,5,MG,I
2801.17,5,ZN,I
2934.12,5,LI,II
2974.77,5,GA,II
3029.01,5,TL,II
3062.18,5,K,II
3101.8,5,RA,I
3136.02,5,CA,I
3158.26,5,RB,I
3180.52,5,CA,I
3190.07,5,K,II
3199.33,5,LI,II
3211.21,5,TE,II
3274.67,5,CA,I
3290.65,5,K,II
3451.37,5,BE,I
3470.34,5,GA,II
3506.74,5,XE,I
3514.6,5,RN,I
3567.67,5,TL,II
3608.88,5,K,II
3675.29,5,CA,I
3695.32,5,CO,II
3714.16,5,LI,II
3714.73,5,CO,II
3716.6,5,K,II
3721.34,5,K,II
3739.13,5,K,II
3744.42,5,K,II
3799,5,ZN,I
3835.384,5,H,I
3873.74,5,K,II
3898.48,5,F,I
3923,5,K,II
3926.36,5,K,II
3934.26,5,F,I
3948.56,5,F,I
4012.1,5,K,II
4026.36,5,HE,I
4050.23,5,CO,II
4074.34,5,CO,II
4093.69,5,K,II
4110.76,5,PB,II
4255.7,5,GA,II
4276.79,5,NA,I
4325.42,5,LI,II
4325.47,5,LI,II
4340.03,5,K,II
4344.74,5,NA,I
4436.49,5,MG,II
4466.65,5,K,II
4595.65,5,K,II
4616.3,5,CO,II
4659.38,5,K,II
4739.71,5,MG,II
4753.93,5,K,I
4786.49,5,K,I
4883,5,HG,I
4889.91,5,HG,I
4970.37,5,HG,I
4980.64,5,HG,I
5151.391,5,AR,I
5310.24,5,K,II
5316.78,5,HG,I
5411.52,5,HE,II
5421.352,5,AR,I
5465.944,5,CS,I
5502.884,5,CS,I
5506.113,5,AR,I
5552.25,5,SC,II
5562.766,5,NE,I
5625.33,5,NI,I
5632.77,5,RH,I
5642.73,5,K,II
5664.02,5,NI,I
5664.842,5,GE,I
5682.633,5,NA,I
5717.877,5,GE,I
5719.225,5,NE,I
5778.82,5,TM,II
5785.31,5,MG,I
5834.263,5,AR,I
5838.835,5,CS,I
5942.669,5,AR,I
5998.999,5,AR,I
6025.15,5,AR,I
6061.536,5,TH,I
6079.7,5,SN,II
6215.938,5,AR,I
6276.66,5,RH,I
6299.224,5,RB,I
6419.4,5,GA,II
6427.96,5,K,II
6466.717,5,TH,I
6501.992,5,TH,I
6522.044,5,TH,I
6558.876,5,TH,I
6577.215,5,TH,I
6620.44,5,MG,II
6624.73,5,IR,I
6660.676,5,AR,I
6664.051,5,AR,I
6687.51,5,PR,II
6697.712,5,TH,I
6742.884,5,TH,I
6746.56,5,W,I
6756.163,5,AR,I
6761.19,5,RE,I
6764.45,5,W,I
6823.509,5,TH,I
6830.01,5,IR,I
6866.367,5,TH,I
6878.7,5,OS,I
6879.582,5,AR,I
6881.62,5,CR,I
6908.29,5,W,I
6916.129,5,TH,I
6929.88,5,IR,I
6936.652,5,TH,I
6949.54,5,TM,I
6954.657,5,TH,I
6963.12,5,SC,
6976.69,5,TM,II
6990.68,5,SC,
7010.79,5,TM,I
7025.72,5,SC,
7060.97,5,TM,I
7072.37,5,SC,
7094.38,5,SC,
7106.82,5,GA,I
7110.9,5,NI,I
7128.94,5,PB,I
7148.56,5,TH,I
7161.91,5,ER,I
7191.33,5,W,I
7193.6,5,GA,I
7197.02,5,NI,I
7198.62,5,W,I
7209.96,5,OS,I
7216.35,5,W,I
7231.33,5,TM,I
7233.74,5,TM,II
7255.354,5,TH,I
7261.93,5,NI,I
7273.03,5,RH,I
7274.47,5,W,I
7277.54,5,TA,I
7291.45,5,NI,I
7298.143,5,TH,I
7304.68,5,PB,I
7315.067,5,TH,I
7332.96,5,Y,II
7339.606,5,TH,I
7349.3,5,GA,I
7350.814,5,AR,I
7353.334,5,GE,I
7361.349,5,TH,I
7384.175,5,TH,I
7386.64,5,RH,I
7387,5,MG,I
7402.252,5,TH,I
7409.7,5,LU,II
7414.51,5,NI,I
7434.51,5,TM,II
7439.95,5,TM,II
7481.28,5,ND,II
7491,5,EU,I
7496.2,5,HO,I
7533.02,5,EU,I
7540.97,5,ND,II
7577.54,5,ND,II
7582.88,5,W,I
7590.51,5,ER,I
7605.92,5,ND,II
7612.94,5,RU,I
7614.72,5,ND,I
7627.176,5,TH,I
7629.85,5,TM,I
7648.76,5,TM,II
7689.49,5,Y,I
7701.37,5,V,I
7715.58,5,NI,I
7729.91,5,RU,I
7750.37,5,SC,I
7752.72,5,SC,I
7757.89,5,HF,II
7761.16,5,W,I
7776.2,5,GE,I
7786.5,5,MG,II
7798.32,5,ND,II
7798.36,5,TH,I
7817.97,5,PB,I
7825.2,5,ND,II
7833.39,5,RU,I
7872.03,5,ND,I
7875.36,5,ER,I
7879.36,5,ER,I
7886.48,5,W,I
7896.737,5,PB,I
7906.03,5,ND,I
7918.1,5,TM,I
7925.26,5,RB,I
7947.93,5,ND,II
7948.15,5,RU,I
7952.07,5,TA,I
7954.594,5,TH,I
7955.37,5,K,I
7955.38,5,ND,II
7962.26,5,GE,I
7983.33,5,GE,I
7993.68,5,TH,I
8023.03,5,ER,I
8024.253,5,TH,II
8029.04,5,TA,I
8049.85,5,MG,I
8060.38,5,W,I
8064,5,ND,II
8085.22,5,TH,I
8093.626,5,TH,I
8095.29,5,GE,I
8100.11,5,TA,I
8129.407,5,TH,I
8143.19,5,W,I
8158.99,5,BE,I
8163.18,5,CR,I
8171.6,5,GA,I
8180.74,5,TA,I
8181.34,5,PR,II
8183.256,5,NA,I
8200.309,5,CD,I
8210.22,5,W,I
8211.93,5,PR,I
8217.711,5,PB,I
8225.22,5,GE,I
8249.68,5,ND,II
8252.395,5,TH,I
8264.15,5,GE,I
8280.09,5,GE,I
8280.39,5,V,I
8294.52,5,TM,I
8335.07,5,RA,I
8367.58,5,ER,II
8369.67,5,RH,I
8380.06,5,HF,I
8382.98,5,HF,I
8396.36,5,GE,I
8415.73,5,TA,I
8429.42,5,GE,I
8456.87,5,ND,II
8464.23,5,TH,I
8468.84,5,MG,I
8507.66,5,GE,I
8510.621,5,TH,I
8516.557,5,TH,I
8539.795,5,TH,I
8582.03,5,ND,II
8591.53,5,ND,II
8667.07,5,ND,II
8669.6,5,GE,I
8677.48,5,ND,
8709.236,5,TH,I
8712.9,5,GE,I
8719.39,5,PB,II
8722.81,5,PB,I
8841.185,5,TH,I
8923.31,5,K,I
8955.848,5,TH,I
8976.75,5,TL,I
2000.2,6,TE,I
2111.758,6,PB,I
2179.25,6,SB,II
2190,6,K,II
2208.5,6,SB,II
2225.15,6,SB,II
2246.07,6,SN,II
2275.46,6,CA,I
2449.57,6,MG,II
2450.08,6,GA,I
2469.03,6,TL,II
2550.02,6,K,II
2630.05,6,MG,I
2668.12,6,MG,I
2698.14,6,MG,I
2769.65,6,TE,I
2840.557,6,PB,II
2874.24,6,GA,I
2919.82,6,SN,II
2943.64,6,GA,I
2944.17,6,GA,I
3094.69,6,SN,II
3105,6,K,II
3140.79,6,CA,I
3168.98,6,MG,II
3172.71,6,MG,II
3215.34,6,CA,I
3217.62,6,K,I
3226.15,6,CA,I
3229.16,6,RB,I
3286.07,6,CA,I
3332.15,6,MG,I
3345.32,6,K,II
3373.6,6,K,II
3380.62,6,K,II
3381.8,6,TL,II
3384.86,6,K,II
3404.24,6,K,II
3426.86,6,NA,I
3460.48,6,TL,II
3481.11,6,K,II
3594.1,6,F,I
3618.49,6,K,II
3620.54,6,SN,II
3633.06,6,XE,I
